type,count,pct
"Children & Family Movies, Comedies, Sports Movies",3,0.04
"International TV Shows, Romantic TV Shows",3,0.04
"TV Action & Adventure, TV Comedies, TV Horror",3,0.04
"Crime TV Shows, TV Action & Adventure",3,0.04
"Action & Adventure, Comedies, Cult Movies",3,0.04
"Documentaries, Faith & Spirituality, International Movies",3,0.04
"International TV Shows, TV Horror, TV Thrillers",3,0.04
"International TV Shows, Romantic TV Shows, TV Action & Adventure",3,0.04
"Anime Series, Romantic TV Shows, Teen TV Shows",3,0.04
"Dramas, Music & Musicals, Romantic Movies",3,0.04
"Action & Adventure, Thrillers",3,0.04
"TV Dramas, TV Sci-Fi & Fantasy",3,0.04
"Comedies, Cult Movies, Horror Movies",3,0.04
"Anime Series, Teen TV Shows",3,0.04
"Kids' TV, TV Dramas",3,0.04
"Anime Series, Crime TV Shows",3,0.04
"Classic & Cult TV, TV Action & Adventure, TV Sci-Fi & Fantasy",3,0.04
"International Movies, LGBTQ Movies, Romantic Movies",3,0.04
"Docuseries, Spanish-Language TV Shows",3,0.04
"International TV Shows, Korean TV Shows, Stand-Up Comedy & Talk Shows",3,0.04
"Action & Adventure, Classic Movies, Cult Movies",3,0.04
"Docuseries, Stand-Up Comedy & Talk Shows",3,0.04
"TV Action & Adventure, TV Dramas, TV Horror",3,0.04
"Classic Movies, Dramas, Romantic Movies",3,0.04
"Action & Adventure, Cult Movies, Sci-Fi & Fantasy",2,0.03
"Classic & Cult TV, TV Action & Adventure, TV Horror",2,0.03
"Documentaries, Horror Movies",2,0.03
"Classic Movies, Comedies, Music & Musicals",2,0.03
"Cult Movies, Dramas, Thrillers",2,0.03
"Comedies, Dramas, Faith & Spirituality",2,0.03
"Anime Features, Music & Musicals, Sci-Fi & Fantasy",2,0.03
"Comedies, Dramas, Music & Musicals",2,0.03
"Documentaries, Dramas, International Movies",2,0.03
"TV Comedies, TV Sci-Fi & Fantasy",2,0.03
"British TV Shows, Classic & Cult TV, International TV Shows",2,0.03
"Reality TV, TV Comedies, TV Horror",2,0.03
"Classic Movies, Dramas, Sports Movies",2,0.03
"Comedies, Documentaries",2,0.03
"Docuseries, TV Dramas",2,0.03
"Crime TV Shows, TV Action & Adventure, TV Thrillers",2,0.03
"Anime Series, Romantic TV Shows",2,0.03
"Action & Adventure, Dramas, Faith & Spirituality",2,0.03
"Action & Adventure, International Movies, Sports Movies",2,0.03
"Classic Movies, Comedies, Independent Movies",2,0.03
"Action & Adventure, Children & Family Movies",2,0.03
"British TV Shows, Romantic TV Shows, TV Dramas",2,0.03
"Classic & Cult TV, Crime TV Shows, International TV Shows",2,0.03
"Cult Movies, Horror Movies, Independent Movies",2,0.03
"Classic & Cult TV, TV Action & Adventure, TV Dramas",2,0.03
"Documentaries, Stand-Up Comedy",2,0.03
"Spanish-Language TV Shows, TV Dramas",2,0.03
"Horror Movies, International Movies, Romantic Movies",2,0.03
"TV Action & Adventure, TV Mysteries, TV Sci-Fi & Fantasy",2,0.03
"Anime Features, International Movies, Romantic Movies",2,0.03
"Reality TV, Teen TV Shows",2,0.03
"TV Action & Adventure, TV Comedies, TV Sci-Fi & Fantasy",2,0.03
"Anime Features, Children & Family Movies, International Movies",2,0.03
"Classic Movies, Cult Movies, Dramas",2,0.03
"Documentaries, LGBTQ Movies, Music & Musicals",2,0.03
"International TV Shows, Reality TV, TV Comedies",2,0.03
International TV Shows,2,0.03
"TV Dramas, TV Mysteries, TV Thrillers",2,0.03
"Comedies, Independent Movies, Thrillers",2,0.03
"Dramas, LGBTQ Movies, Romantic Movies",2,0.03
"Kids' TV, TV Action & Adventure",2,0.03
"Crime TV Shows, Romantic TV Shows, TV Dramas",2,0.03
"Comedies, LGBTQ Movies",2,0.03
"British TV Shows, Reality TV, Romantic TV Shows",2,0.03
"Classic Movies, Cult Movies, Horror Movies",2,0.03
"Action & Adventure, Children & Family Movies, Dramas",2,0.03
"Crime TV Shows, Spanish-Language TV Shows, TV Dramas",2,0.03
"International TV Shows, TV Action & Adventure, TV Mysteries",2,0.03
"Action & Adventure, Classic Movies",2,0.03
"Classic Movies, Dramas, Music & Musicals",2,0.03
Anime Features,2,0.03
"Crime TV Shows, Docuseries, Science & Nature TV",2,0.03
"Comedies, Faith & Spirituality, Romantic Movies",2,0.03
"Romantic TV Shows, TV Dramas, TV Sci-Fi & Fantasy",2,0.03
"Crime TV Shows, Kids' TV, TV Comedies",2,0.03
"Comedies, Music & Musicals, Romantic Movies",2,0.03
"Comedies, Cult Movies, International Movies",2,0.03
"Children & Family Movies, Independent Movies",2,0.03
"International TV Shows, TV Mysteries, TV Thrillers",2,0.03
"Children & Family Movies, Documentaries, Sports Movies",2,0.03
"Children & Family Movies, Classic Movies, Dramas",1,0.01
"Crime TV Shows, TV Horror, TV Mysteries",1,0.01
"Romantic TV Shows, Spanish-Language TV Shows, TV Comedies",1,0.01
"International TV Shows, Korean TV Shows, TV Horror",1,0.01
